NmKGE_cmd,Log(CMD),Wet Threshold,Dry Threshold
248.0075768,2.394464949,2.535581621,2.847262721
247.3417498,2.393297429,2.535581621,2.847262721
247.1711779,2.392997827,2.535581621,2.847262721
249.0305546,2.396252636,2.535581621,2.847262721
251.8712646,2.401178623,2.535581621,2.847262721
253.8739266,2.4046181,2.535581621,2.847262721
256.3258659,2.408792433,2.535581621,2.847262721
257.6332925,2.411001984,2.535581621,2.847262721
259.1980662,2.413631757,2.535581621,2.847262721
262.0717252,2.418420168,2.535581621,2.847262721
263.8947124,2.421430688,2.535581621,2.847262721
266.9146588,2.426372426,2.535581621,2.847262721
267.7691414,2.427760526,2.535581621,2.847262721
256.2702938,2.408698267,2.535581621,2.847262721
252.1515185,2.401661588,2.535581621,2.847262721
252.455051,2.402184064,2.535581621,2.847262721
254.5358869,2.405749022,2.535581621,2.847262721
248.4628583,2.395261477,2.535581621,2.847262721
243.0799025,2.385749054,2.535581621,2.847262721
242.2344586,2.384235923,2.535581621,2.847262721
241.0201006,2.382053263,2.535581621,2.847262721
241.1259738,2.382243995,2.535581621,2.847262721
235.831841,2.372602441,2.535581621,2.847262721
236.2462481,2.37336492,2.535581621,2.847262721
231.241609,2.364065983,2.535581621,2.847262721
231.7769368,2.365070219,2.535581621,2.847262721
228.1406667,2.358202706,2.535581621,2.847262721
227.3187727,2.356635303,2.535581621,2.847262721
228.9135297,2.359671462,2.535581621,2.847262721
231.2381031,2.364059398,2.535581621,2.847262721
233.5945333,2.368462675,2.535581621,2.847262721
235.0792921,2.371214374,2.535581621,2.847262721
233.4124419,2.368124002,2.535581621,2.847262721
236.4547336,2.373748013,2.535581621,2.847262721
239.9735266,2.380163334,2.535581621,2.847262721
242.5881064,2.384869505,2.535581621,2.847262721
246.0793169,2.391075113,2.535581621,2.847262721
251.2373837,2.400084262,2.535581621,2.847262721
250.3300601,2.398513004,2.535581621,2.847262721
248.2673164,2.39491955,2.535581621,2.847262721
250.5706989,2.398930284,2.535581621,2.847262721
253.0401407,2.40318942,2.535581621,2.847262721
256.2211399,2.408614959,2.535581621,2.847262721
259.1321226,2.413521252,2.535581621,2.847262721
260.5873414,2.415953315,2.535581621,2.847262721
249.1840392,2.396520221,2.535581621,2.847262721
243.6311455,2.386732807,2.535581621,2.847262721
246.1692389,2.391233783,2.535581621,2.847262721
247.0659867,2.392812961,2.535581621,2.847262721
249.1678026,2.396491922,2.535581621,2.847262721
251.4552571,2.40046072,2.535581621,2.847262721
253.7739809,2.404447092,2.535581621,2.847262721
256.397857,2.408914391,2.535581621,2.847262721
258.3046519,2.412132228,2.535581621,2.847262721
261.5230979,2.417510052,2.535581621,2.847262721
260.8055729,2.416316867,2.535581621,2.847262721
265.8369028,2.424615268,2.535581621,2.847262721
270.526303,2.432209497,2.535581621,2.847262721
274.6480533,2.438776525,2.535581621,2.847262721
278.7047263,2.445144334,2.535581621,2.847262721
283.1236998,2.451976225,2.535581621,2.847262721
287.8632803,2.45918627,2.535581621,2.847262721
291.0581556,2.463979773,2.535581621,2.847262721
295.7255369,2.470888829,2.535581621,2.847262721
299.2328801,2.476009313,2.535581621,2.847262721
299.1306482,2.475860912,2.535581621,2.847262721
300.5704501,2.477946282,2.535581621,2.847262721
302.0690482,2.480106227,2.535581621,2.847262721
302.5374426,2.480779131,2.535581621,2.847262721
305.6246218,2.485188339,2.535581621,2.847262721
309.338408,2.490433846,2.535581621,2.847262721
315.730621,2.499316704,2.535581621,2.847262721
322.703882,2.50880419,2.535581621,2.847262721
328.5060235,2.516543337,2.535581621,2.847262721
333.346086,2.52289536,2.535581621,2.847262721
338.0901731,2.529032548,2.535581621,2.847262721
342.7478368,2.534974723,2.535581621,2.847262721
342.1105195,2.534166428,2.535581621,2.847262721
340.5200879,2.532142737,2.535581621,2.847262721
344.3193224,2.536961395,2.535581621,2.847262721
349.3697926,2.543285352,2.535581621,2.847262721
352.3622481,2.546989372,2.535581621,2.847262721
357.7128126,2.553534496,2.535581621,2.847262721
362.2046564,2.558954029,2.535581621,2.847262721
366.3672852,2.563916686,2.535581621,2.847262721
366.8354343,2.56447128,2.535581621,2.847262721
